NDC,ICD,RXCUI
66336061930,I24.8,
21695035460,I24.8,
63629295101,I24.8,
49999011560,I24.8,
68084093432,I24.8,
33261092230,I24.8,
591321901,I24.8,
55700012960,I24.8,
527155201,I24.8,
50090158000,I24.8,
16590091130,I24.8,
54569655400,I24.8,
21695013960,I24.8,
54569837200,I24.8,
63629295201,I24.8,
591354601,I24.8,
527131201,I24.8,
54868103701,I24.8,
54569033702,I24.8,
68308031210,I24.8,
41520046768,I24.8,
41520025968,I24.8,
51824005501,I24.8,
51824005736,I24.8,
51824004924,I24.8,
51824005950,I24.8,
41520027468,I24.8,
23155014501,I24.8,
185072401,I24.8,
52682002301,I24.8,
64980017501,I24.8,
21695057030,I24.8,
52682002401,I24.8,
185074901,I24.8,
64980017601,I24.8,
68163008191,I24.8,
63868024036,I24.8,
71141000568,I24.8,
63868002936,I24.8,
52124001201,I24.8,
49738078408,I24.8,
55319021807,I24.8,
41163039707,I24.8,
55154675200,I24.8,
21130044701,I24.8,
55315028204,I24.8,
67510050804,I24.8,
11673056314,I24.8,
51596000601,I24.8,
61245011613,I24.8,
61245014513,I24.8,
61245014613,I24.8,
61245017513,I24.8,
61245017613,I24.8,
71476010450,I24.8,
71476010350,I24.8,
71476010231,I24.8,
71476010131,I24.8,
68752002294,I24.8,
50844022712,I24.8,
64092014150,I24.8,
63868089810,I24.8,
68084084825,I24.8,
50804037012,I24.8,
70000023701,I24.8,
603016921,I24.8,
63941037012,I24.8,
59726037005,I24.8,
536331301,I24.8,
49348093714,I24.8,
21130008105,I24.8,
71335015701,I24.8,
63739052301,I24.8,
50090000301,I24.8,
15127022757,I24.8,
49483033100,I24.8,
50090295700,I24.8,
53808103401,I24.8,
54569001401,I24.8,
42254014100,I24.8,
70253060014,I24.8,
49349038602,I24.8,
11822089901,I24.8,
41163041678,I24.8,
49035041678,I24.8,
49035027408,I24.8,
69517011560,I24.8,
21130051912,I24.8,
15127073006,I24.8,
59779038912,I24.8,
24385002868,I24.8,
24385036468,I24.8,
24385027868,I24.8,
24385041678,I24.8,
46122029278,I24.8,
113041678,I24.8,
113025968,I24.8,
113027468,I24.8,
113046708,I24.8,
47682001033,I24.8,
47682000933,I24.8,
67751000901,I24.8,
62011002101,I24.8,
62011002801,I24.8,
62011002001,I24.8,
62011021201,I24.8,
62011004001,I24.8,
62107002636,I24.8,
62107002726,I24.8,
70518092300,I24.8,
55316041678,I24.8,
